"DnsServer","ZoneName","ZoneType","IsDsIntegrated","DynamicUpdate","SecureSecondaries"
"DC01","_msdcs.corp.democompany1016.local","Primary","True","Secure","NoTransfer"
"DC01","0.in-addr.arpa","Primary","False","None","TransferToZoneNameServer"
"DC01","1.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"DC01","127.in-addr.arpa","Primary","False","None","TransferToZoneNameServer"
"DC01","2.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"DC01","255.in-addr.arpa","Primary","False","None","TransferToZoneNameServer"
"DC01","3.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"DC01","4.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"DC01","corp.democompany1016.local","Primary","True","Secure","NoTransfer"
