"HostName","RecordType","Timestamp"
"@","A","5/11/2026 5:00:00 PM"
"@","A","5/11/2026 4:00:00 PM"
"@","NS",
"@","NS",
"@","SOA",
"_gc._tcp","SRV","5/12/2026 12:00:00 PM"
"_gc._tcp","SRV","5/11/2026 5:00:00 PM"
"_gc._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"_gc._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"_kerberos._tcp","SRV","5/11/2026 4:00:00 PM"
"_kerberos._tcp","SRV","5/11/2026 5:00:00 PM"
"_kerberos._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"_kerberos._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"_kerberos._udp","SRV","5/11/2026 5:00:00 PM"
"_kerberos._udp","SRV","5/11/2026 4:00:00 PM"
"_kpasswd._tcp","SRV","5/11/2026 5:00:00 PM"
"_kpasswd._tcp","SRV","5/11/2026 4:00:00 PM"
"_kpasswd._udp","SRV","5/11/2026 5:00:00 PM"
"_kpasswd._udp","SRV","5/11/2026 4:00:00 PM"
"_ldap._tcp","SRV","5/11/2026 5:00:00 PM"
"_ldap._tcp","SRV","5/11/2026 4:00:00 PM"
"_ldap._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 5:00:00 PM"
"_ldap._tcp.Default-First-Site-Name._sites","SRV","5/11/2026 4:00:00 PM"
"_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","5/11/2026 4:00:00 PM"
"_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","5/11/2026 5:00:00 PM"
"_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","5/11/2026 5:00:00 PM"
"_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","5/11/2026 4:00:00 PM"
"_ldap._tcp.DomainDnsZones","SRV","5/11/2026 5:00:00 PM"
"_ldap._tcp.DomainDnsZones","SRV","5/11/2026 4:00:00 PM"
"_ldap._tcp.ForestDnsZones","SRV","5/11/2026 5:00:00 PM"
"_ldap._tcp.ForestDnsZones","SRV","5/11/2026 4:00:00 PM"
"_msdcs","NS",
"app01","A",
"dc01","A",
"dc02","A",
"DomainDnsZones","A","5/11/2026 4:00:00 PM"
"DomainDnsZones","A","5/11/2026 5:00:00 PM"
"files","CNAME",
"ForestDnsZones","A","5/11/2026 5:00:00 PM"
"ForestDnsZones","A","5/11/2026 4:00:00 PM"
"fs01","A",
"intranet","CNAME",
"MGMT01","A","5/11/2026 6:00:00 PM"
