"ZoneName","ZoneType","IsDsIntegrated","DynamicUpdate","SecureSecondaries"
"_msdcs.corp.democompany1016.local","Primary","True","Secure","NoTransfer"
"0.in-addr.arpa","Primary","False","None","TransferToZoneNameServer"
"1.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"127.in-addr.arpa","Primary","False","None","TransferToZoneNameServer"
"2.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"255.in-addr.arpa","Primary","False","None","TransferToZoneNameServer"
"3.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"4.10.10.in-addr.arpa","Primary","True","Secure","NoTransfer"
"corp.democompany1016.local","Primary","True","Secure","NoTransfer"
"TrustAnchors","Primary","True","None","NoTransfer"
